observation_date,PCOPPUSDM
2009-01-01,3260.35714285714
2009-02-01,3328.4125
2009-03-01,3770.875
2009-04-01,4436.925
2009-05-01,4591.46052631579
2009-06-01,5015.43181818182
2009-07-01,5228.41304347826
2009-08-01,6176.875
2009-09-01,6195.75
2009-10-01,6305.98863636364
2009-11-01,6682.44047619048
2009-12-01,6976.97619047619
2010-01-01,7367.375
2010-02-01,6867.675
2010-03-01,7466.9347826087
2010-04-01,7729.8375
2010-05-01,6843.15789473684
2010-06-01,6501.5
2010-07-01,6750.56818181818
2010-08-01,7302.66666666667
2010-09-01,7729.59090909091
2010-10-01,8289.7619047619
2010-11-01,8458.42045454545
2010-12-01,9152.85714285714
2011-01-01,9533.2
2011-02-01,9880.9375
2011-03-01,9503.35869565217
2011-04-01,9482.75
2011-05-01,8931.675
2011-06-01,9066.85227272727
2011-07-01,9650.46428571429
2011-08-01,8997.98863636364
2011-09-01,8300.13636363636
2011-10-01,7394.19047619048
2011-11-01,7581.02272727273
2011-12-01,7558.875
2012-01-01,8061.91666666667
2012-02-01,8441.4880952381
2012-03-01,8470.78409090909
2012-04-01,8285.52631578947
2012-05-01,7896.90909090909
2012-06-01,7428.28947368421
2012-07-01,7584.26136363636
2012-08-01,7510.43181818182
2012-09-01,8087.7425
2012-10-01,8062.03260869565
2012-11-01,7711.22727272727
2012-12-01,7966.48684210526
2013-01-01,8053.73863636364
2013-02-01,8060.925
2013-03-01,7652.375
2013-04-01,7221.1619047619
2013-05-01,7248.71428571429
2013-06-01,7000.2375
2013-07-01,6906.64130434783
2013-08-01,7186.25
2013-09-01,7159.26904761905
2013-10-01,7203.02173913043
2013-11-01,7070.65476190476
2013-12-01,7214.9
2014-01-01,7291.46590909091
2014-02-01,7149.2125
2014-03-01,6650.03571428571
2014-04-01,6673.5625
2014-05-01,6891.125
2014-06-01,6821.14285714286
2014-07-01,7113.38043478261
2014-08-01,7001.8375
2014-09-01,6872.21590909091
2014-10-01,6737.47826086957
2014-11-01,6712.85
2014-12-01,6446.45238095238
2015-01-01,5830.53571428571
2015-02-01,5729.275
2015-03-01,5939.67045454545
2015-04-01,6042.0875
2015-05-01,6294.77631578947
2015-06-01,5833.01136363636
2015-07-01,5456.75
2015-08-01,5127.3
2015-09-01,5217.25
2015-10-01,5216.09090909091
2015-11-01,4799.90476190476
2015-12-01,4638.83333333333
2016-01-01,4471.7875
2016-02-01,4598.61904761905
2016-03-01,4953.79761904762
2016-04-01,4872.7380952381
2016-05-01,4694.5375
2016-06-01,4641.96590909091
2016-07-01,4864.90476190476
2016-08-01,4751.67045454545
2016-09-01,4722.20454545455
2016-10-01,4731.2619047619
2016-11-01,5450.93181818182
2016-12-01,5660.35
2017-01-01,5754.55952380952
2017-02-01,5940.9125
2017-03-01,5824.63043478261
2017-04-01,5683.90277777778
2017-05-01,5599.55952380952
2017-06-01,5719.76136363636
2017-07-01,5985.11904761905
2017-08-01,6485.625
2017-09-01,6577.16666666667
2017-10-01,6807.60227272727
2017-11-01,6826.54545454545
2017-12-01,6833.8947368421
2018-01-01,7065.85227272727
2018-02-01,7006.525
2018-03-01,6799.17857142857
2018-04-01,6851.5125
2018-05-01,6825.27380952381
2018-06-01,6965.85714285714
2018-07-01,6250.75
2018-08-01,6051.04545454545
2018-09-01,6050.7625
2018-10-01,6219.58695652174
2018-11-01,6195.92045454545
2018-12-01,6075.31578947368
2019-01-01,5939.10227272727
2019-02-01,6300.4875
2019-03-01,6439.46428571429
2019-04-01,6438.3625
2019-05-01,6017.90476190476
2019-06-01,5882.225
2019-07-01,5941.19565217391
2019-08-01,5709.44047619048
2019-09-01,5759.25
2019-10-01,5757.29782608696
2019-11-01,5859.95238095238
2019-12-01,6077.0625
2020-01-01,6031.20909090909
2020-02-01,5687.75
2020-03-01,5182.63181818182
2020-04-01,5057.972
2020-05-01,5239.82631578947
2020-06-01,5754.59545454546
2020-07-01,6372.46086956522
2020-08-01,6508.39285714286
2020-09-01,6704.9
2020-10-01,6713.81136363636
2020-11-01,7068.90714285714
2020-12-01,7772.2380952381
2021-01-01,7972.1475
2021-02-01,8470.94
2021-03-01,8988.24782608696
2021-04-01,9324.8175
2021-05-01,10166.285
2021-06-01,9631.5
2021-07-01,9450.82045454546
2021-08-01,9370.13857142857
2021-09-01,9324.70954545455
2021-10-01,9829.21904761905
2021-11-01,9728.90454545454
2021-12-01,9551.18
2022-01-01,9782.3375
2022-02-01,9943.175
2022-03-01,10230.8939130435
2022-04-01,10174.3476190476
2022-05-01,9395.02727272727
2022-06-01,9067.55181818182
2022-07-01,7544.80952380952
2022-08-01,7990.81217391304
2022-09-01,7746.01136363636
2022-10-01,7651.08285714286
2022-11-01,8049.86136363636
2022-12-01,8371.09136363636
2023-01-01,9007.34636363636
2023-02-01,8936.587
2023-03-01,8856.31086956522
2023-04-01,8809.1575
2023-05-01,8243.15608695652
2023-06-01,8396.51772727273
2023-07-01,8476.67904761905
2023-08-01,8347.82826086957
2023-09-01,8276.71380952381
2023-10-01,7941.35590909091
2023-11-01,8189.58772727273
2023-12-01,8407.90047619048
2024-01-01,8351.33956521739
2024-02-01,8304.95047619048
2024-03-01,8692.81904761905
2024-04-01,9445.59363636363
2024-05-01,10117.1634782609
2024-06-01,9648.167
2024-07-01,9385.31304347826
2024-08-01,8981.11772727273
2024-09-01,9259.12857142857
2024-10-01,9533.99130434783
2024-11-01,9075.72714285714
2024-12-01,8909.90772727273
2025-01-01,8976.68043478261
2025-02-01,9330.975
2025-03-01,9735.82333333334
2025-04-01,9172.69590909091
2025-05-01,9531.20090909091
2025-06-01,9835.0680952381
